"id_prod","PUNTO DE VENTA","TIPO PRODUCTO","MARCA","MODELO","COLOR","TECNOLOGIA","MEMORIA INTERNA","MEMORIA RAM","TECNOLOGIA SIM","TIPO PROCESADOR","DETALLE TECNICO","DISPOSITIVO DESTINO","TIPO ACCESORIO","MATERIA","VOLTAJE","TIPO CONEXION","RUTA CAPTURA","d_extension_captura","v_peso_captura","d_dimension_captura"
"100","CIENEGUILLA","Equipo Celular","HONOR","X6D","CIAN OCEANO","5G","256 GB","4 GB + 4 GB","One SIM","MediaTek Dimensity 6300 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-6936520889167_K-20260826204809.jpg","jpg","71063.0000","width: 691 x height: 833"
"100","LURIN","Equipo Celular","HONOR","X6D","CIAN OCEANO","5G","256 GB","4 GB + 4 GB","One SIM","MediaTek Dimensity 6300 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-6936520889167_K-20260826204809.jpg","jpg","71063.0000","width: 691 x height: 833"
"45","LURIN","Equipo Celular","MOTOROLA","MOTO G17","PANTONE BORDEAUX (ROSA)","4G LTE","256 GB","4 GB","One SIM","MediaTek Helio G81 Extreme Octa-core","Android 15","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-840493613352_K-20260826083701.jpg","jpg","87957.0000","width: 698 x height: 861"
"66","CHOSICA","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"66","CIENEGUILLA","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"66","LURIN","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"66","LURIN","Equipo Celular","SAMSUNG","GALAXY A37","AWESOME CHARCOAL","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053734_K-20260826125136.jpg","jpg","56514.0000","width: 689 x height: 821"
"100","CHOSICA","Equipo Celular","HONOR","X6D","CIAN OCEANO","5G","256 GB","4 GB + 4 GB","One SIM","MediaTek Dimensity 6300 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-6936520889167_K-20260826204809.jpg","jpg","71063.0000","width: 691 x height: 833"
"67","CIENEGUILLA","Equipo Celular","SAMSUNG","GALAXY A37","LIGHT VIOLET","5G","256 GB","8 GB","One SIM","Samsung Exynos 1480 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099053802_K-20260826125750.jpg","jpg","60135.0000","width: 674 x height: 810"
"70","LURIN","Equipo Celular","SAMSUNG","GALAXY A57","AWESOME NAVY","5G","256 GB","8 GB","One SIM","Samsung Exynos 1680 Octa-core","\N","\N","\N","\N","\N","Tipo C","https://expansiontecmye.pe/daavif/assets/equipos/celular/CEL_CODE-8806099050573_K-20260826132437.jpg","jpg","55883.0000","width: 655 x height: 791"
